Name,Rarity,Set,Type,Health,Defense,Strength,Crit,Lifesteal,Speed,Bonus AS,Bonus Projectiles,Projectile speed,Range,AOE,Knockback,Description
Ivy Crown,Common,Crown,Helmet,250,,,,,,,,,,,,Heal 50 health per room
Ivy Crown+,Common,Crown,Helmet,350,,,,,,,,,,,,
Ivy Crown++,Common,Crown,Helmet,450,,,,,,,,,,,,
Barbarian Helmet,Common,Barbarian,Helmet,,,10,,,,0.25,,,,,,
Barbarian Helmet+,Common,Barbarian,Helmet,,,10,,,,0.5,,,,,,
Barbarian Helmet++,Common,Barbarian,Helmet,,,10,,,,1,,,,,,
Barbarian Garb,Common,Barbarian,Chestplate,,,10,,,,0.25,,,,,,
Barbarian Garb+,Common,Barbarian,Chestplate,,,10,,,,0.5,,,,,,
Barbarian Garb++,Common,Barbarian,Chestplate,,,10,,,,1,,,,,,
Barbarian Boots,Common,Barbarian,Pants,,,10,,,,0.25,,,,,,
Barbarian Boots+,Common,Barbarian,Pants,,,10,,,,0.5,,,,,,
Barbarian Boots++,Common,Barbarian,Pants,,,10,,,,1,,,,,,
Knight's Helm,Common,Knight,Helmet,,20,,,,,,,,,,,
Knight's Helm+,Common,Knight,Helmet,,30,,,,,,,,,,,
Knight's Helm++,Common,Knight,Helmet,,35,,,,,,,,,,,
Knight's Chestplate,Common,Knight,Chestplate,,20,,,,,,,,,,,
Knight's Chestplate+,Common,Knight,Chestplate,,30,,,,,,,,,,,
Knight's Chestplate++,Common,Knight,Chestplate,,35,,,,,,,,,,,
Knight's Trousers,Common,Knight,Pants,,20,,,,,,,,,,,
Knight's Trousers+,Common,Knight,Pants,,30,,,,,,,,,,,
Knight's Trousers++,Common,Knight,Pants,,35,,,,,,,,,,,
Speedster Mask,Common,Speedster,Helmet,,,,,,15,,,,,,,
Speedster Mask+,Common,Speedster,Helmet,,,,,,20,,,,,,,
Speedster Mask++,Common,Speedster,Helmet,,,,,,30,,,,,,,
Speedster Suit,Common,Speedster,Chestplate,,,,,,15,,,,,,,
Speedster Suit+,Common,Speedster,Chestplate,,,,,,20,,,,,,,
Speedster Suit++,Common,Speedster,Chestplate,,,,,,30,,,,,,,
Speedster Tights,Common,Speedster,Pants,,,,,,15,,,,,,,
Speedster Tights+,Common,Speedster,Pants,,,,,,20,,,,,,,
Speedster Tights++,Common,Speedster,Pants,,,,,,30,,,,,,,
Ninja Mask,Uncommon,Ninja,Helmet,,,,20,,15,,,,,,,
Ninja Mask+,Uncommon,Ninja,Helmet,,,,25,,20,,,,,,,
Ninja Mask++,Uncommon,Ninja,Helmet,,,,30,,25,,,,,,,
Ninja Suit,Uncommon,Ninja,Chestplate,,,,20,,15,,,,,,,
Ninja Suit+,Uncommon,Ninja,Chestplate,,,,25,,20,,,,,,,
Ninja Suit++,Uncommon,Ninja,Chestplate,,,,30,,25,,,,,,,
Ninja Pants,Uncommon,Ninja,Pants,,,,20,,15,,,,,,,
Ninja Pants+,Uncommon,Ninja,Pants,,,,25,,20,,,,,,,
Ninja Pants++,Uncommon,Ninja,Pants,,,,30,,25,,,,,,,
Engineer's Cap,Uncommon,Engineer,Helmet,,,,,,,,,,,,,
Engineer's Cap+,Uncommon,Engineer,Helmet,,,,,,,,,,,,,
Engineer's Cap++,Uncommon,Engineer,Helmet,,,,,,,,,,,,,
Engineer Vest,Uncommon,Engineer,Chestplate,,,,,,,,,,,,,
Engineer Vest+,Uncommon,Engineer,Chestplate,,,,,,,,,,,,,
Engineer Vest++,Uncommon,Engineer,Chestplate,,,,,,,,,,,,,
Engineer Pants,Uncommon,Engineer,Pants,,,,,,,,,,,,,
Engineer Pants+,Uncommon,Engineer,Pants,,,,,,,,,,,,,
Engineer Pants++,Uncommon,Engineer,Pants,,,,,,,,,,,,,
Ranger Cap,Uncommon,Ranger,Helmet,,,,,,,0.25,1,,,,,
Ranger Cap+,Uncommon,Ranger,Helmet,,,,,,,0.5,1,,,,,
Ranger Cap++,Uncommon,Ranger,Helmet,,,,,,,1,1,,,,,
Ranger Tunic,Uncommon,Ranger,Chestplate,,,,,,,0.25,1,,,,,
Ranger Tunic+,Uncommon,Ranger,Chestplate,,,,,,,0.5,1,,,,,
Ranger Tunic++,Uncommon,Ranger,Chestplate,,,,,,,1,1,,,,,
Ranger Boots,Uncommon,Ranger,Pants,,,,,,,0.25,1,,,,,
Ranger Boots+,Uncommon,Ranger,Pants,,,,,,,0.5,1,,,,,
Ranger Boots++,Uncommon,Ranger,Pants,,,,,,,1,1,,,,,
Infernal Helmet,Uncommon,Infernal,Helmet,,15,,,,,,,,,1,,
Infernal Helmet+,Uncommon,Infernal,Helmet,,20,,,,,,,,,2,,
Infernal Helmet++,Uncommon,Infernal,Helmet,,30,,,,,,,,,3,,
Infernal Chestplate,Uncommon,Infernal,Chestplate,,15,,,,,,,,,1,,
Infernal Chestplate+,Uncommon,Infernal,Chestplate,,20,,,,,,,,,2,,
Infernal Chestplate++,Uncommon,Infernal,Chestplate,,30,,,,,,,,,3,,
Infernal Pants,Uncommon,Infernal,Pants,,15,,,,,,,,,1,,
Infernal Pants+,Uncommon,Infernal,Pants,,20,,,,,,,,,2,,
Infernal Pants++,Uncommon,Infernal,Pants,,30,,,,,,,,,3,,
Fire Spirit Helmet,Uncommon,Fire Spirit,Helmet,,,10,,,,,,,,,2,
